date,ticker,period,period_label,fiscal_year,currency,is_sales_revenue_turnover,is_sales_and_services_revenues,is_cogs,is_cog_and_services_sold,is_gross_profit,is_operating_expn,is_other_operating_expenses,is_oper_income,is_nonop_income_loss,is_net_interest_expense,is_int_expense,is_other_nonop_income_loss,is_pretax_income,is_inc_tax_exp,is_inc_bef_xo_item,is_xo_gl_net_of_tax,is_extraord_items_and_acctg_chng,is_ni_including_minority_int_ratio,is_min_noncontrol_interest_credits,is_net_income,is_earn_for_common,is_avg_num_sh_for_eps,eps,eps_cont_ops,is_sh_for_diluted_eps,diluted_eps,dil_eps_cont_ops,ebitda,ebitda_margin,ebita,ebit,gross_margin,oper_margin,profit_margin,is_discontinued_operations,bs_c_and_ce_and_sti_detailed,bs_cash_near_cash_item,bs_mkt_sec_other_st_invest,bs_accts_rec_excl_notes_rec,bs_other_current_receivable,bs_inventories,bs_invtry_raw_materials,bs_invtry_in_progress,bs_invtry_finished_goods,bs_other_inv,bs_other_current_assets_detailed,bs_cur_asset_report,bs_net_fix_asset,bs_gross_fix_asset,bs_accum_depr,bs_other_assets_def_chrg_other,bs_disclosed_intangibles,bs_goodwill,bs_other_intangible_assets_detailed,bs_other_noncurrent_assets_detailed,bs_tot_non_cur_asset,bs_tot_asset,bs_acct_payable,bs_accrual,bs_st_borrow,bs_short_term_debt_detailed,bs_st_capital_lease_obligations,bs_other_current_liabs_sub_detailed,bs_other_current_liabs_detailed,bs_cur_liab,bs_lt_borrow,bs_long_term_borrowings_detailed,bs_lt_capital_lease_obligations,bs_other_noncur_liabs_sub_detailed,bs_other_noncurrent_liabs_detailed,bs_non_cur_liab,bs_tot_liab,bs_sh_cap_and_apic,bs_common_stock,bs_add_paid_in_cap,bs_pure_retained_earnings,bs_eqty_bef_minority_int_detailed,bs_minority_noncontrolling_interest,bs_total_equity,bs_tot_liab_and_eqy,bs_sh_out,bs_total_capital_leases,net_debt,net_debt_to_shrhldr_eqty,tce_ratio,cur_ratio,cash_conversion_cycle,cf_free_cash_flow_firm,revenue_per_sh,ebitda_per_sh,oper_inc_per_sh,cash_st_investments_per_sh,book_val_per_sh,tang_book_val_per_sh,market_cap,enterprise_value,ev_to_ttm_sales,ev_to_ttm_ebitda,ev_to_ttm_ebit,ev_to_ttm_cash_flow_firm,ev_to_ttm_free_cash_flow_firm,diluted_mkt_cap,diluted_ev,ev_to_sh_out,ttm_net_sales,ttm_ebitda,ttm_oper_inc,ttm_cash_flow_firm,ttm_free_cash_flow_firm,short_and_long_term_debt,bs_tot_cap,tot_debt_to_tot_cap,total_debt_to_ev,is_sg_and_a_expense,is_int_income,div_per_shr,is_depr_exp,bs_taxes_payable,bs_pension_liabilities,cf_net_inc,cf_non_cash_items_detailed,cf_def_inc_tax,cf_other_non_cash_adj_less_detailed,cf_chng_non_cash_work_cap,cf_acct_rcv_unbilled_rev,cf_change_in_inventories,cf_inc_dec_in_ot_op_ast_liab_detail,cf_cash_from_oper,cf_disp_fxd_and_intangibles_detailed,cf_disposal_of_fixed_prod_assets,cf_acquis_fxd_and_intang_detailed,cf_purchase_of_fixed_prod_assets,cf_acquisition_of_intang_assets,cf_net_chg_in_lt_invest_detailed,cf_decr_invest,cf_incr_invest,cf_other_investing_act_detailed,cf_cash_from_inv_act,cf_dvd_paid,cf_other_financing_act_excl_fx,cf_cash_from_fin_act,cf_effect_foreign_exchanges,cf_net_chng_cash,cf_cap_expenditures,cf_free_cash_flow,free_cash_flow_equity,free_cash_flow_per_sh,pr_to_free_cash_flow,cash_flow_to_net_inc,cf_proc_fr_repurch_eqty_detailed,cf_decr_cap_stock,cf_nt_csh_proc_pymt_debt,cf_pymt_debt_and_capital_lease,cf_nt_csh_rcvd_pd_for_acquis_div,cf_cash_for_acquis_subsidiaries,cf_net_cash_paid_for_aquis,cf_proc_debt_and_capital_lease,cash_flow_per_sh,bs_acct_note_rcv,bs_loans_receivable,bs_lt_invest,bs_long_term_investments,bs_acct_payable_and_accruals_detailed,bs_st_deferred_revenue,bs_accrued_liabilities,bs_other_ins_res_to_shrhldr_eqy,bs_deferred_tax_liabs_st,cf_depr_amort,cf_stock_based_compensation,cf_change_in_prepaid_assets,cf_change_in_accounts_payable,cf_asset_impairment_charge,cf_incr_cap_stock,cf_net_cash_discontinued_ops_inv,bs_amt_of_tsy_stock,is_other_oper_income,bs_invtry_adj,cf_cash_for_divestitures,is_operating_expenses_r_and_d,bs_pfd_eqty_and_hybrid_cptl
2000-03-31,INFY.NS,quarterly,Q4,2000,USD,63643754.0,63643754.0,31612377.0,31612377.0,32031377.0,14232324.0,5585804.0,17799053.0,-2138792.0,,,-2138792.0,19937845.0,1993317.0,17944528.0,,,17944528.0,,17944528.0,17944528.0,,,,,,,23384857.0,38.23012506474379,17799053.0,17799053.0,50.32917605708802,27.96669253670989,28.19526956250884,,116599486.0,116599486.0,,,31233515.0,,,,,,11256295.0,159089296.0,47554772.0,78208914.0,30654142.0,12638802.0,,,,12638802.0,60193574.0,219282870.0,976840.0,,,,,20169509.0,20169509.0,21146349.0,,,,,,,21146349.0,130100236.0,8593510.0,121506726.0,99773031.0,198136521.0,,198136521.0,219282870.0,4233644800.0,,-116599486.0,-58.84805355999967,90.35658872943428,7.523251224123843,,16864697.0,,,,,,,,-116599486.0,,,,,,,-116599486.0,,203430713.0,77771816.0,60386012.0,71390727.0,103016757.0,,108366541.0,,,8646520.0,,,5585804.0,,,17944528.0,-771044.0,-750891.0,-20153.0,6231439.0,623163.0,,4806741.0,28990727.0,,,-12126030.0,-12126030.0,,,,,-6804970.0,-18931000.0,-26872.0,228939.0,202067.0,-437271.0,10261794.0,-12126030.0,16864697.0,16864697.0,,,1.615574786921116,,,,,,,,,,31233515.0,,,,976840.0,,,-31736746.0,,5585804.0,,,801535.0,,,,,,,,,
2000-06-30,INFY.NS,quarterly,Q1,2001,USD,80257833.0,80257833.0,37962499.0,37962499.0,42295334.0,15889886.0,5275458.0,26405448.0,-3403057.0,,,-3403057.0,29808505.0,2976832.0,26831673.0,,,26831673.0,,26831673.0,26831673.0,4222545088.0,0.0063543840126781,0.0063543840126781,4306042816.0,0.006231167256466,0.006231167256466,31680906.0,38.45874657483312,26405448.0,26405448.0,52.69932219575378,32.9007736852302,33.431843344187975,,105756757.0,105756757.0,,,51164692.0,,,,,,12566158.0,169487607.0,61700055.0,95586560.0,33886505.0,15840392.0,,,,15840392.0,77540447.0,247028054.0,472473.0,,,,,29890146.0,29890146.0,30362619.0,,,,,,,30362619.0,130122853.0,8593585.0,121529268.0,121630806.0,216665435.0,,216665435.0,247028054.0,4233644800.0,,-105756757.0,-48.81108839534096,87.70883771767882,5.582114210898605,-0.8825886542005755,2410948.0,0.0190069807017771,0.00750279874809,0.006253443705087,0.0250457377709355,0.0308402606215107,0.0513115740589103,,-105756757.0,,,,,,,-105756757.0,,243959646.0,93823822.0,74562560.0,78548785.0,119621925.0,,130224391.0,,,10614428.0,,0.0011206438063734,5275458.0,,,26831673.0,-117776.0,-118795.0,1019.0,-11431297.0,-19931177.0,,9004247.0,20558058.0,1146.0,1146.0,-18147110.0,-18147110.0,,-2999970.0,,-2999970.0,-918227.0,-22064161.0,-4731969.0,,-4709352.0,-4627274.0,-6215455.0,-18147110.0,2410948.0,2412094.0,0.0005709703389199,,0.7661862158203852,22617.0,,,,,,,,0.0048686414405434,51164692.0,,,,472473.0,,,-35088224.0,,5275458.0,,,-504367.0,,22617.0,,,,,,,
2000-09-30,INFY.NS,quarterly,Q2,2001,USD,97939050.0,97939050.0,44881660.0,44881660.0,53057390.0,20861044.0,6592451.0,32196346.0,-4292181.0,,,-4292181.0,36488527.0,3706641.0,32781886.0,,,32781886.0,,32781886.0,32781886.0,4220226176.0,0.0077678031064844,0.0077678031064844,4282414208.0,0.0076550012230857,0.0076550012230857,38788797.0,38.84800189726011,32196346.0,32196346.0,54.17388671832124,32.87385981383319,33.47172144308118,,116475448.0,116475448.0,,,52826967.0,,,,,,13255567.0,182557982.0,79371264.0,110025406.0,30654142.0,17956635.0,,,,17956635.0,97327899.0,279885881.0,44587.0,,,,,36465765.0,36465765.0,36510352.0,,,,,,,36510352.0,130122853.0,8593585.0,121529268.0,154412692.0,243375529.0,,243375529.0,279885881.0,,,-116475448.0,-47.85832350466098,86.95527195957412,5.000170417420243,-0.1889430187499423,20452602.0,0.023207061876676,0.0091911654452521,0.007629056988248,0.027599337841745,0.0386250097037453,0.0576688354723858,,-116475448.0,,,,,,,-116475448.0,,293998696.0,114212619.0,92158906.0,107193579.0,160458911.0,,163006277.0,,,14268593.0,,5.049089577515573e-05,6592451.0,,,32781886.0,-191888.0,-192068.0,180.0,4262345.0,-1662275.0,,6352506.0,43444794.0,,,-22992192.0,-22992192.0,,,,,-2173240.0,-25165432.0,-213083.0,,-213083.0,-7347588.0,18066279.0,-22992192.0,20452602.0,20452602.0,0.0048463284068308,,1.325268289933044,,,,,,,,,0.0102944231394673,52826967.0,,,,44587.0,,,-41160016.0,,6592451.0,,,-427886.0,,,,,,,,,
2000-12-31,INFY.NS,quarterly,Q3,2001,USD,114911366.0,114911366.0,53517692.0,53517692.0,61393674.0,23201130.0,8336092.0,38192544.0,-97184.0,,,-97184.0,38289728.0,4282892.0,34006836.0,,,34006836.0,,34006836.0,34006836.0,4198001088.0,0.0081007211020522,0.0081007211020522,4250294016.0,0.0080010549557237,0.0080010549557237,46528636.0,39.3503595829846,38192544.0,38192544.0,53.42698127877098,33.23652422685498,29.59397071304504,,110891708.0,110891708.0,,,65102262.0,,,,,,14306584.0,190300554.0,97928035.0,128582177.0,30654142.0,16270118.0,,,,16270118.0,114198153.0,304498707.0,353474.0,,,,,33003419.0,33003419.0,33356893.0,,,,,,,33356893.0,130277177.0,8593713.0,121683464.0,184034357.0,271141814.0,,271141814.0,304498707.0,4234119488.0,,-110891708.0,-40.89804754348955,89.04530881965289,5.704984394080108,-0.60133632523675,3334833.0,0.0273728766599119,0.0110835216629653,0.0090977927826587,0.0264153595188396,0.0458856646203899,0.0645883143706322,,-110891708.0,,,,,,,-110891708.0,,356752003.0,140383196.0,114593391.0,121972502.0,188755894.0,,192628070.0,,,14865038.0,,0.0010314039728043,8336092.0,,,34006835.0,3092334.0,110863.0,2981471.0,-16456338.0,-12275295.0,,-4489930.0,28978923.0,,,-25644090.0,-25644090.0,,,,,-1462910.0,-27107000.0,-4329835.0,,-4175511.0,-3280152.0,-2303588.0,-25644090.0,3334833.0,3334833.0,0.0007943859303735,,0.8521499324429948,154324.0,,,,,,,,0.0069030289398533,65102262.0,,,,353474.0,,,-43169720.0,,8336092.0,,,308887.0,,154324.0,,,,,,,
2001-03-31,INFY.NS,quarterly,Q4,2001,USD,120742261.0,120742261.0,77251893.0,77251893.0,43490368.0,2770120.0,-15122206.0,40720248.0,-1712921.0,,,-1712921.0,42433169.0,4105459.0,38327710.0,,,38327710.0,,38327710.0,38327710.0,,,,,,,50125909.0,40.382757532423966,40720248.0,40720248.0,36.01917641744343,33.72493413884307,31.74340921112948,,124084245.0,124084245.0,,64942062.0,,,,,,,17718005.0,206744312.0,119773030.0,172206793.0,52433763.0,15830477.0,,,,15830477.0,135603507.0,342347819.0,28082.0,21830484.0,,,,8697552.0,1217737.0,30556118.0,,,,,,,30556118.0,130611624.0,8594106.0,122017518.0,222362067.0,311791701.0,,311791701.0,342347819.0,4234119488.0,,-124084245.0,-39.79716092571688,91.07453989651384,6.766052939054627,27.779631348171065,14539190.0,,,,,,,,-124084245.0,,,,,,,-124084245.0,,413850510.0,167124248.0,137514586.0,137513318.0,216141953.0,,230956173.0,,,17892326.0,,,9405661.0,,,38327710.0,-91727.0,-569304.0,477577.0,-3110101.0,160200.0,,-2944909.0,44531543.0,4176.0,4176.0,-29992353.0,-29992353.0,,,,,-2366616.0,-32354793.0,-46635.0,,287812.0,727975.0,12464562.0,-29992353.0,14539190.0,14543366.0,,,1.1618628663178676,334447.0,,,,,,,,,64942062.0,,,,21858566.0,7479815.0,,-41181990.0,,9405661.0,,,-325392.0,,334447.0,,,,,,,
2001-06-30,HDFCBANK.NS,quarterly,Q1,2002,INR,,,,,,,,,,,,,,,620510519.2,,,620510519.2,,620510519.2,620510519.2,4864825046.0,0.1275504285010623,0.1275504285010623,5276129986.0,0.1176071326609655,0.1176071326609655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84988493553.62,84988493553.62,,,,,,92173990855.42,92173990855.42,17.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,INFY.NS,quarterly,Q1,2002,USD,130532758.0,130532758.0,68414968.0,68414968.0,62117790.0,19679974.0,1259755.0,42437816.0,-2876099.0,,,-2876099.0,45313915.0,6072556.0,39241359.0,,,39241359.0,,39241359.0,39241359.0,4196406400.0,0.0093511817635203,0.0093511817635203,4211803456.0,0.0093169967236002,0.0093169967236002,51257746.0,40.22642887477176,42437816.0,42437816.0,47.587893607518815,32.51123829008501,30.062460643021115,,134180176.0,134180176.0,,65784363.0,553647.0,,,,,,18043349.0,218561535.0,132769999.0,192116614.0,59346615.0,21053037.0,,,,21053037.0,153823036.0,372384571.0,4814.0,25990088.0,,,,8476481.0,754332.0,34471383.0,,,,,,,34471383.0,130700024.0,8594383.0,122105641.0,249966975.0,337913188.0,,337913188.0,372384571.0,4234119488.0,,-134180176.0,-39.708475657363216,90.74306894417492,6.340376160712786,25.51035444987022,28325475.0,0.0311058428468701,0.0122146763478389,0.0101128946900853,0.0319750193880173,0.0616149470175243,0.0805244191792291,,-134180176.0,,,,,,,-134180176.0,,464125435.0,186701088.0,153546954.0,165845138.0,242045984.0,,258561358.0,,,18420219.0,,0.0027000769038956,8819930.0,,,39241359.0,-231127.0,-224804.0,-6323.0,1059716.0,-842301.0,,1636122.0,48889878.0,13582.0,13582.0,-20564403.0,-20564403.0,,-2200000.0,,-2200000.0,-1969330.0,-24720151.0,-11330620.0,,-11242220.0,-2831576.0,12927507.0,-20564403.0,28325475.0,28339057.0,0.0067499360881729,,1.2458762704930786,88400.0,,,,,,,,0.0116504154602375,66338010.0,,,,25994902.0,7722149.0,,-42753811.0,,8819930.0,,289163.0,-23268.0,,88400.0,,,,,,,
2001-09-30,HDFCBANK.NS,quarterly,Q2,2002,INR,,,,,,,,,,,,,,,692426455.72,,,692426455.72,,692426455.72,692426455.72,5458380414.0,0.1268556610572654,0.1268556610572654,5851452567.0,0.1183341141010055,0.1183341141010055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95412489636.72,95412489636.72,,,,,,102283390871.16,102283390871.16,17.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,INFY.NS,quarterly,Q2,2002,USD,137258134.0,137258134.0,73051389.0,73051389.0,64206745.0,19041679.0,1251327.0,45165066.0,-3090300.0,,,-3090300.0,48255366.0,6962947.0,41292419.0,,,41292419.0,,41292419.0,41292419.0,4195698176.0,0.0098416085399561,0.0098416085399561,4230025728.0,0.0097617418084885,0.0097617418084885,54652919.0,40.2358556613862,45165066.0,45165066.0,46.77809841127521,32.905201814852006,30.083768296019525,,149392226.0,149392226.0,,71807005.0,855220.0,,,,,,18680026.0,240734477.0,149145830.0,214063779.0,64917949.0,23515983.0,,,,23515983.0,172661813.0,413396290.0,7843.0,31483326.0,,,,7830409.0,980531.0,39321578.0,,,,,,,39321578.0,130700024.0,8594383.0,122105641.0,291259394.0,374074712.0,,374074712.0,413396290.0,,,-149392226.0,-39.93646755784978,90.48816379072971,6.122197766325654,25.99508582829462,22185359.0,0.0327140152228147,0.0130259415018512,0.0107646127308085,0.0356060468921585,0.0714669560158561,0.0891567258435703,,-149392226.0,,,,,,,-149392226.0,,503444519.0,202565210.0,166515674.0,169405495.0,244782043.0,,299853777.0,,,17790352.0,,5.944874715411369e-05,9487853.0,,,41292419.0,-333837.0,-335859.0,2022.0,-3441284.0,-6022642.0,,3474107.0,47005151.0,205413.0,205413.0,-24819792.0,-24819792.0,,,,,-547071.0,-25161450.0,-249429.0,,-249429.0,-6382222.0,21594272.0,-24819792.0,22185359.0,22390772.0,0.0052876441701415,,1.1383482038192048,,,,,,,,,0.0112031774041508,72662225.0,,,,31491169.0,6849878.0,,-47884706.0,,9487853.0,,-895778.0,3029.0,,,,,,,,,
2001-12-31,HDFCBANK.NS,quarterly,Q3,2002,INR,,,,,,,,,,,,,,,752674681.86,,,752674681.86,,752674681.86,752674681.86,5631456542.0,0.1336554186730328,0.1336554186730328,5987693369.0,0.1257036116372979,0.1257036116372979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105871382989.6,105871382989.6,,,,,,112568635337.2,112568635337.2,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
